Time,Radon,Error,Radon* (fast),Error
23/10/2021 13:10,113,100,0,0
23/10/2021 13:40,227,71,207,100
23/10/2021 14:10,453,50,827,50
23/10/2021 14:40,340,58,413,71
23/10/2021 15:10,340,58,413,71
23/10/2021 15:40,567,45,413,71
23/10/2021 16:10,793,38,1447,38
23/10/2021 16:40,227,71,207,100
23/10/2021 17:10,227,71,0,0
23/10/2021 17:40,113,100,0,0
23/10/2021 18:10,453,50,413,71
23/10/2021 18:40,0,0,0,0
23/10/2021 19:10,113,100,207,100
23/10/2021 19:40,113,100,207,100
23/10/2021 20:10,0,0,0,0
23/10/2021 20:40,113,100,207,100
23/10/2021 21:10,0,0,0,0
23/10/2021 21:40,503,52,710,60
23/10/2021 22:10,227,71,207,100
23/10/2021 22:40,680,41,827,50
23/10/2021 23:10,567,45,620,58
23/10/2021 23:40,340,58,413,71
24/10/2021 0:10,113,100,0,0
24/10/2021 0:40,113,100,0,0
24/10/2021 1:10,227,71,413,71
24/10/2021 1:40,113,100,0,0
24/10/2021 2:10,113,100,207,100
24/10/2021 2:40,390,60,710,60
24/10/2021 3:10,113,100,0,0
24/10/2021 3:40,0,0,0,0
24/10/2021 4:10,227,71,0,0
24/10/2021 4:40,227,71,0,0
24/10/2021 5:10,0,0,0,0
24/10/2021 5:40,113,100,207,100
24/10/2021 6:10,453,50,827,50
24/10/2021 6:40,0,0,0,0
24/10/2021 7:10,340,58,207,100
24/10/2021 7:40,439,61,0,0
24/10/2021 8:10,340,58,207,100
24/10/2021 8:40,439,61,0,0
24/10/2021 9:10,0,0,0,0
24/10/2021 9:40,113,100,0,0
24/10/2021 10:10,113,100,207,100
24/10/2021 10:40,227,71,207,100
24/10/2021 11:10,453,50,413,71
24/10/2021 11:40,113,100,0,0
24/10/2021 12:10,0,0,0,0
24/10/2021 12:40,0,0,0,0
24/10/2021 13:10,340,58,620,58
24/10/2021 13:40,113,100,0,0
24/10/2021 14:10,0,0,0,0
24/10/2021 14:40,390,60,710,60
24/10/2021 15:10,1020,33,1653,35
24/10/2021 15:40,680,41,620,58
24/10/2021 16:10,227,71,0,0
24/10/2021 16:40,453,50,413,71
24/10/2021 17:10,0,0,0,0
24/10/2021 17:40,0,0,0,0
24/10/2021 18:10,0,0,0,0
24/10/2021 18:40,113,100,207,100
24/10/2021 19:10,0,0,0,0
24/10/2021 19:40,0,0,0,0
24/10/2021 20:10,227,71,413,71
24/10/2021 20:40,680,41,1033,45
24/10/2021 21:10,113,100,207,100
24/10/2021 21:40,453,50,620,58
24/10/2021 22:10,113,100,207,100
24/10/2021 22:40,453,50,620,58
24/10/2021 23:10,276,75,0,0
24/10/2021 23:40,1020,33,827,50
25/10/2021 0:10,390,60,0,0
25/10/2021 0:40,113,100,207,100
25/10/2021 1:10,680,41,413,71
25/10/2021 1:40,453,50,207,100
25/10/2021 2:10,113,100,0,0
25/10/2021 2:40,0,0,0,0
25/10/2021 3:10,113,100,207,100
25/10/2021 3:40,0,0,0,0
25/10/2021 4:10,227,71,0,0
25/10/2021 4:40,0,0,0,0
25/10/2021 5:10,113,100,0,0
25/10/2021 5:40,340,58,620,58
25/10/2021 6:10,730,42,504,75
25/10/2021 6:40,453,50,207,100
25/10/2021 7:10,0,0,0,0
25/10/2021 7:40,616,46,917,52
25/10/2021 8:10,1020,33,827,50
25/10/2021 8:40,680,41,620,58
25/10/2021 9:10,340,58,620,58
25/10/2021 9:40,0,0,0,0
25/10/2021 10:10,227,71,207,100
25/10/2021 10:40,0,0,0,0
25/10/2021 11:10,340,58,413,71
25/10/2021 11:40,113,100,0,0
25/10/2021 12:10,0,0,0,0
25/10/2021 12:40,340,58,413,71
25/10/2021 13:10,567,45,827,50
25/10/2021 13:40,0,0,0,0
25/10/2021 14:10,0,0,0,0
25/10/2021 14:40,340,58,620,58
25/10/2021 15:10,616,46,917,52
25/10/2021 15:40,793,38,1033,45
25/10/2021 16:10,1020,33,1033,45
25/10/2021 16:40,453,50,413,71
25/10/2021 17:10,1020,33,827,50
25/10/2021 17:40,227,71,207,100
25/10/2021 18:10,227,71,0,0
25/10/2021 18:40,0,0,0,0
25/10/2021 19:10,0,0,0,0
25/10/2021 19:40,227,71,0,0
25/10/2021 20:10,0,0,0,0
25/10/2021 20:40,113,100,207,100
25/10/2021 21:10,0,0,0,0
25/10/2021 21:40,340,58,413,71
25/10/2021 22:10,0,0,0,0
25/10/2021 22:40,276,75,504,75
25/10/2021 23:10,503,52,504,75
25/10/2021 23:40,567,45,827,50
26/10/2021 0:10,453,50,413,71
26/10/2021 0:40,666,47,0,0
26/10/2021 1:10,390,60,0,0
26/10/2021 1:40,227,71,207,100
26/10/2021 2:10,340,58,413,71
26/10/2021 2:40,0,0,0,0
26/10/2021 3:10,276,75,0,0
26/10/2021 3:40,0,0,0,0
26/10/2021 4:10,0,0,0,0
26/10/2021 4:40,453,50,620,58
26/10/2021 5:10,0,0,0,0
26/10/2021 5:40,276,75,504,75
26/10/2021 6:10,340,58,413,71
26/10/2021 6:40,1360,29,1653,35
26/10/2021 7:10,1133,32,2067,32
26/10/2021 7:40,1133,32,1240,41
26/10/2021 8:10,326,75,0,0
26/10/2021 8:40,907,35,827,50
26/10/2021 9:10,276,75,0,0
26/10/2021 9:40,390,60,0,0
26/10/2021 10:10,0,0,0,0
26/10/2021 10:40,0,0,0,0
26/10/2021 11:10,0,0,0,0
26/10/2021 11:40,0,0,0,0
26/10/2021 12:10,0,0,0,0
26/10/2021 12:40,503,52,710,60
26/10/2021 13:10,0,0,0,0
26/10/2021 13:40,0,0,0,0
26/10/2021 14:10,276,75,0,0
26/10/2021 14:40,390,60,504,75
26/10/2021 15:10,227,71,207,100
26/10/2021 15:40,793,38,1033,45
26/10/2021 16:10,227,71,207,100
26/10/2021 16:40,340,58,413,71
26/10/2021 17:10,227,71,207,100
26/10/2021 17:40,0,0,0,0
26/10/2021 18:10,340,58,413,71
26/10/2021 18:40,340,58,413,71
26/10/2021 19:10,0,0,0,0
26/10/2021 19:40,0,0,0,0
26/10/2021 20:10,113,100,0,0
26/10/2021 20:40,340,58,620,58
26/10/2021 21:10,0,0,0,0
26/10/2021 21:40,0,0,0,0
26/10/2021 22:10,340,58,620,58
26/10/2021 22:40,276,75,504,75
26/10/2021 23:10,453,50,413,71
26/10/2021 23:40,1006,37,1214,47
27/10/2021 0:10,730,42,504,75
27/10/2021 0:40,503,52,710,60
27/10/2021 1:10,453,50,207,100
27/10/2021 1:40,340,58,413,71
27/10/2021 2:10,113,100,207,100
27/10/2021 2:40,340,58,413,71
27/10/2021 3:10,0,0,0,0
27/10/2021 3:40,0,0,0,0
27/10/2021 4:10,227,71,0,0
27/10/2021 4:40,0,0,0,0
27/10/2021 5:10,276,75,0,0
27/10/2021 5:40,503,52,504,75
27/10/2021 6:10,340,58,413,71
27/10/2021 6:40,0,0,0,0
27/10/2021 7:10,680,41,1240,41
27/10/2021 7:40,616,46,710,60
27/10/2021 8:10,793,38,1033,45
27/10/2021 8:40,0,0,0,0
27/10/2021 9:10,340,58,0,0
27/10/2021 9:40,0,0,0,0
27/10/2021 10:10,0,0,0,0
27/10/2021 10:40,227,71,413,71
27/10/2021 11:10,340,58,207,100
27/10/2021 11:40,0,0,0,0
27/10/2021 12:10,390,60,710,60
27/10/2021 12:40,0,0,0,0
27/10/2021 13:10,113,100,207,100
27/10/2021 13:40,0,0,0,0
27/10/2021 14:10,567,45,827,50
27/10/2021 14:40,907,35,827,50
27/10/2021 15:10,390,60,0,0
27/10/2021 15:40,1070,34,917,52
27/10/2021 16:10,843,39,917,52
27/10/2021 16:40,453,50,207,100
27/10/2021 17:10,227,71,413,71
27/10/2021 17:40,390,60,0,0
27/10/2021 18:10,390,60,0,0
27/10/2021 18:40,227,71,413,71
27/10/2021 19:10,113,100,0,0
27/10/2021 19:40,0,0,0,0
27/10/2021 20:10,340,58,207,100
27/10/2021 20:40,113,100,207,100
27/10/2021 21:10,227,71,413,71
27/10/2021 21:40,0,0,0,0
27/10/2021 22:10,1020,33,1447,38
27/10/2021 22:40,0,0,0,0
27/10/2021 23:10,616,46,710,60
27/10/2021 23:40,843,39,504,75
28/10/2021 0:10,567,45,827,50
28/10/2021 0:40,276,75,0,0
28/10/2021 1:10,390,60,0,0
28/10/2021 1:40,227,71,413,71
28/10/2021 2:10,0,0,0,0
28/10/2021 2:40,113,100,207,100
28/10/2021 3:10,276,75,0,0
28/10/2021 3:40,0,0,0,0
28/10/2021 4:10,0,0,0,0
28/10/2021 4:40,0,0,0,0
28/10/2021 5:10,276,75,0,0
28/10/2021 5:40,0,0,0,0
28/10/2021 6:10,0,0,0,0
28/10/2021 6:40,793,38,1240,41
28/10/2021 7:10,616,46,710,60
28/10/2021 7:40,907,35,827,50
28/10/2021 8:10,453,50,207,100
28/10/2021 8:40,439,61,0,0
28/10/2021 9:10,276,75,0,0
28/10/2021 9:40,0,0,0,0
28/10/2021 10:10,340,58,207,100
28/10/2021 10:40,340,58,413,71
28/10/2021 11:10,0,0,0,0
28/10/2021 11:40,227,71,413,71
28/10/2021 12:10,390,60,504,75
28/10/2021 12:40,227,71,413,71
28/10/2021 13:10,0,0,0,0
28/10/2021 13:40,453,50,827,50
28/10/2021 14:10,276,75,504,75
28/10/2021 14:40,567,45,413,71
28/10/2021 15:10,567,45,413,71
28/10/2021 15:40,907,35,1447,38
28/10/2021 16:10,680,41,207,100
28/10/2021 16:40,503,52,504,75
28/10/2021 17:10,340,58,413,71
